rolling_mean_12,rolling_std_3,rolling_mean_3,rolling_std_6,lag_10,rolling_mean_6,lag_30,Appliances
-0.4407605851876784,-0.33269703885370133,-0.41441896982931764,-0.44734867638450615,-0.3675894550625968,-0.42174964479515914,-0.367423551891152,60
-0.4407605851876784,-0.33269703885370133,-0.41441896982931764,-0.44734867638450615,-0.3675894550625968,-0.42174964479515914,-0.367423551891152,60
-0.4407605851876784,-0.4151405232542323,-0.45108376125407923,-0.44734867638450615,-0.3675894550625968,-0.42174964479515914,-0.367423551891152,50
-0.4407605851876784,-0.4151405232542323,-0.48774855267884076,-0.44734867638450615,-0.4651548570000898,-0.42174964479515914,-0.367423551891152,50
-0.4407605851876784,-0.4151405232542323,-0.48774855267884076,-0.44734867638450615,-0.4651548570000898,-0.42174964479515914,-0.367423551891152,60
-0.4407605851876784,-0.4151405232542323,-0.48774855267884076,-0.5560952092868416,-0.3675894550625968,-0.5241291586323413,-0.4650197374245098,50
-0.4407605851876784,-0.4151405232542323,-0.45108376125407923,-0.5560952092868416,-0.4651548570000898,-0.5241291586323413,-0.4650197374245098,60
-0.4407605851876784,-0.4151405232542323,-0.45108376125407923,-0.5560952092868416,-0.3675894550625968,-0.5241291586323413,-0.367423551891152,60
-0.4407605851876784,-0.5277604173215807,-0.41441896982931764,-0.5615778052845691,-0.3675894550625968,-0.503653255864905,-0.4650197374245098,60
-0.4407605851876784,-0.4151405232542323,-0.3777541784045561,-0.5412648833747241,-0.3675894550625968,-0.462701450330032,-0.367423551891152,70
-0.4407605851876784,1.3330256174898458,0.24554727581639021,0.5677804081675835,-0.2700240531251039,-0.11461110328361286,-0.367423551891152,230
0.2518973702494593,4.560116737407189,2.1521164299039905,3.0004179148768673,1.291022377874783,0.9706117433905176,-0.367423551891152,580
0.6790364427690275,2.8974399416735266,3.472048921195406,3.2261868750088865,4.7058114456870355,1.7282201457856656,-0.2698273663577942,430
0.8983781286574546,2.695215536986439,3.5453785040449293,2.9161317978592343,3.2423304166246414,2.1172622983669576,1.2917116021759307,250
0.9560996249438826,2.695215536986441,1.7854685156563752,2.780776967535537,1.4861531817497686,2.1991659094367035,4.707578095843454,100
1.013821121230311,1.1615379936886492,0.5755303986392442,2.675189342382621,0.022672152687374887,2.260593617739013,3.243635312843087,100
1.0484540190021678,-0.4151405232541606,-0.011106264156940576,2.947615779898399,0.022672152687374887,1.9739309789949024,1.4869039732426463,90
1.071542617516739,-0.22979618494091011,-0.12110063843122522,1.8249064321180481,-0.07489324925011805,0.929659937855645,0.022961190242279248,70
1.09463121603131,-0.3326970388538642,-0.19443022128074838,0.5234422961095674,-0.2700240531251039,0.21300334099537,0.022961190242279248,80
1.1869856100895955,0.21073761463847088,-0.011106264156940576,-0.22803013996969249,-0.17245865118761097,-0.012231589446430616,-0.07463499529107856,140
1.2562514056333092,0.06816804743971654,0.17221769296686706,-0.1955525200296866,0.4129337604373466,0.028720216088442177,-0.2698273663577942,120
1.3947829967207368,0.17555059570885873,0.5755303986392442,0.1366209711336469,0.21780295656236076,0.21300334099537,-0.17223118082443636,190
1.2562514056333092,0.3225011370046381,0.4655360243649595,0.11028359030987073,0.9007607701248113,0.2539551465302428,0.4133459323757105,110
0.7136693405408844,0.373198735217214,0.42887123294019786,0.0005778096489688532,0.12023755462486782,0.33585875759998857,0.21815356130899488,110
0.3442517643077444,-0.5277604173215807,0.13555290154210556,-0.09848464500009585,0.12023755462486782,0.3972864659022978,0.9013268600424995,110
0.1826315747057455,-0.5277604173215807,0.13555290154210556,-0.09024386466465761,0.12023755462486782,0.33585875759998857,0.12055737577563706,110
